subject,onset,-4,-2,0,2,4,6,8,10,12,conditions,wrongness,run
YOU_FIRSTTHIRD_01,285,2.2379,1.7954,1.8689,1.7163,1.2491,1.2844,1.4348,1.7366,1.5921,1st_P_neut,2,2
YOU_FIRSTTHIRD_01,295,1.793,1.815,1.8138,1.8836,1.4367,1.9452,1.9663,2.0264,1.8559,1st_P_neut,2,2
YOU_FIRSTTHIRD_01,357,2.3767,2.6547,1.8291,1.4697,1.788,1.7714,2.0094,2.5817,2.5218,1st_P_neut,2,2
YOU_FIRSTTHIRD_01,374,2.0963,1.8496,1.904,2.1274,2.3126,2.4213,2.4832,2.4168,2.324,1st_P_neut,1,2
YOU_FIRSTTHIRD_01,388,2.1442,2.1108,1.743,1.7341,1.4409,1.6689,1.7773,1.7413,1.7534,1st_P_neut,1,2
YOU_FIRSTTHIRD_01,36,-1.5966,-1.55,-1.2553,-1.3139,-1.2853,-0.9426,-0.82464,-0.49349,-0.43793,comp_other,3,3
YOU_FIRSTTHIRD_01,45,-0.7139,-0.98392,-0.93548,-0.6898,-0.41613,-0.71892,-0.83477,-0.70035,-0.074889,comp_other,4,3
YOU_FIRSTTHIRD_01,55,-0.37972,-0.2417,-0.55434,-0.72482,-0.6695,-1.0588,-1.3066,-0.99429,-1.0703,comp_other,4,3
YOU_FIRSTTHIRD_01,71,-0.65081,-1.0775,-1.361,-1.2449,-0.95245,-0.99242,-0.98757,-0.93999,-0.5873,comp_other,3,3
YOU_FIRSTTHIRD_01,79,-0.5873,-0.61028,-0.77373,-1.1225,-1.5204,-1.3342,-1.5409,-1.6275,-1.7294,comp_other,4,3
YOU_FIRSTTHIRD_01,87,-1.7294,-1.7702,-1.225,-1.3221,-1.3128,-1.1117,-0.94912,-0.99598,-0.77389,comp_other,2,3
YOU_FIRSTTHIRD_01,117,-2.7412,-1.4126,-1.2564,-2.017,-0.080364,-0.24931,-0.76458,-1.08,-0.79718,comp_other,3,3
YOU_FIRSTTHIRD_01,142,-1.1361,-0.83555,-0.95213,-1.0009,-1.0752,-1.0532,-0.87808,-1.5873,-1.5173,comp_other,2,3
YOU_FIRSTTHIRD_01,151,-1.5939,-1.3247,-0.87309,-1.113,-0.46058,-0.52921,-0.70995,-0.18232,-1.1536,comp_other,3,3
YOU_FIRSTTHIRD_01,160,-0.71096,-0.76569,-1.3132,-1.371,-0.89834,-0.53949,-0.93255,-0.96712,-0.94094,comp_other,3,3
YOU_FIRSTTHIRD_01,169,-0.57952,-0.51132,-1.0101,-1.0006,-0.90826,-1.3223,-1.4382,-1.0279,-1.462,comp_other,1,3
YOU_FIRSTTHIRD_01,202,0.75918,0.79846,0.61165,0.81451,0.63775,0.099943,0.64097,1.3293,0.99848,comp_other,4,4
